game_id,day,date,player,elo_after_game
4,1,,TD,1496.29788933886
5,1,,TD,1493.5388180741938
6,2,,TD,1489.3891778939217
7,2,,TD,1485.9520602742057
8,2,,TD,1489.772095172015
9,2,,TD,1486.6806458574422
10,2,,TD,1483.9650788931742
11,2,,TD,1481.1227091353567
12,2,,TD,1484.1228918320287
13,3,,TD,1480.980650638554
14,3,,TD,1478.1535749574366
18,3,,TD,1481.3643263863812
62,12,,TD,1485.0068835812428
63,12,,TD,1482.346056348036
64,12,,TD,1478.6914411015377
65,12,,TD,1475.1425183391582
66,12,,TD,1478.3703855298113
67,12,,TD,1481.1536991393198
69,12,,TD,1483.922539257007
70,12,,TD,1481.0623063656863
78,13,,TD,1477.8980002157418
79,13,,TD,1480.8533088714287
80,13,,TD,1478.0838035742959
81,13,,TD,1474.890518519008
82,13,,TD,1471.5639548816298
83,13,,TD,1468.5236122122562
84,13,,TD,1464.7328086952223
87,14,,TD,1468.0736383722976
88,14,,TD,1464.728388310643
91,14,,TD,1461.9271762492613
92,14,,TD,1458.2951981453525
93,14,,TD,1455.0688992751702
109,17,,TD,1452.1096422101864
111,17,,TD,1454.9707319914392
112,17,,TD,1458.1863899726284
113,17,,TD,1461.04469361232
1,1,,TT,1503.452380952381
2,1,,TT,1500.12567211109
3,1,,TT,1497.3873787918408
6,2,,TT,1493.2377386115686
7,2,,TT,1496.6748562312846
8,2,,TT,1492.8548213334752
9,2,,TT,1495.946270648048
10,2,,TT,1493.2307036837801
13,3,,TT,1490.0884624903053
14,3,,TT,1492.9155381714227
15,3,,TT,1496.1068007992842
16,3,,TT,1498.9922534903092
17,3,,TT,1496.1916240079295
18,3,,TT,1492.9808725789849
19,4,,TT,1496.5430975899637
20,4,,TT,1499.8172389451474
21,4,,TT,1502.7859329487108
22,4,,TT,1506.1648178497203
23,4,,TT,1502.896706503033
26,5,,TT,1505.9571871793764
30,6,,TT,1502.7517524372045
33,6,,TT,1498.8360654337546
34,6,,TT,1495.7095524729987
38,7,,TT,1492.8463688510246
